Group,Sens,Spec,thresh,dist,AUC,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy
four,1,1,0.5409836065573771,0,1,1,1,1,1,1,1,1,0.39285714285714285,0.39285714285714285,0.39285714285714285,1
six,0.6666666666666666,0.92,0.21212121212121213,0.34279893685819846,0.7266666666666666,0.6666666666666666,0.92,0.5000000000000001,0.9583333333333334,0.5,0.6666666666666666,0.5714285714285715,0.10714285714285714,0.07142857142857142,0.14285714285714285,0.7933333333333333
eight,0.9285714285714286,1,0.6091954022988506,0.0714285714285714,0.9897959183673469,0.9285714285714286,1,1,0.9333333333333333,1,0.9285714285714286,0.962962962962963,0.5,0.4642857142857143,0.4642857142857143,0.9642857142857143
