Var,all,four,six,eight
disp,0.24349999999999997,0.09884661194396525,0.03171328799868886,0.38832597549414927
hp,0.2655,0.09513986399606654,0.04530469714098407,0.4310418327985057
drat,0.14950000000000005,0.2607079390022085,0.04077422742688566,0.07669438016009451
wt,0.18350000000000005,0.06548588041287698,0.03624375771278726,0.2970693712530242
qsec,0.073,0.1037889425411635,0.03171328799868886,0.05339482163044556
vs,0.20300000000000018,0.10996685578766131,0.0679570457114761,0.2931861114980827
carb,0.13749999999999996,0.029653983583189568,0.02265234857049203,0.23882047492890185
X9,0.19599999999999995,0.26688585224870626,-0.036243757712787275,0.17862994872730872
