Group,Sens,Spec,thresh,dist,AUC,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy
four,1,1,0.5870445344129555,0,1,1,1,1,1,1,1,1,0.39285714285714285,0.39285714285714285,0.39285714285714285,1
six,0.6666666666666666,0.64,0.13150684931506848,0.4906231864793093,0.7066666666666667,0.6666666666666666,0.64,0.1818181818181818,0.9411764705882353,0.18181818181818182,0.6666666666666666,0.28571428571428575,0.10714285714285714,0.07142857142857142,0.39285714285714285,0.6533333333333333
eight,1,1,0.6817558299039781,0,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1
