Var,all,four,six,eight
mpg,0.2127500000000001,0.3438626513000732,-0.0018121878856393627,0.14329228495734128
disp,0.2227999999999998,0.10144133550749429,0.03986813348406592,0.3443480587694368
hp,0.2161499999999996,0.10082354418284455,0.0394150865126561,0.33201870904749736
drat,0.16690000000000008,0.3289121012435478,-0.03714985165560692,0.07358777235614133
wt,0.15070000000000008,0.051770913005651883,-0.015856643999344427,0.2553243288874029
qsec,0.09359999999999992,0.15889592869992414,0.010873127313836186,0.05455979955692802
vs,0.15315000000000006,0.07166379365937502,0.044851650169574195,0.23144228139451317
am,0.029000000000000033,0.00395386447775861,9.060939428196806e-4,0.05300649565495143
