Var,all,four,six,eight
mpg,0.2244000000000001,0.35695982738264787,0.004983516685508248,0.15416541227117758
disp,0.2358999999999997,0.09489274746620666,0.03579071074137735,0.3758024627844628
hp,0.22779999999999967,0.08883839248463886,0.04621079108380371,0.3625993796176612
drat,0.18254999999999996,0.3570833856475782,-0.01585664399934442,0.07727686912333576
wt,0.16845000000000007,0.05881373410665935,-0.019027972799213318,0.28493418451883196
qsec,0.09225000000000001,0.1635911427672623,-0.004983516685508261,0.05164735474072186
vs,0.17215000000000005,0.0901975333988685,0.03760289862701675,0.2553243288874032
