Group,Sens,Spec,thresh,dist,AUC,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy
four,1,1,0.6531165311653117,0,1,1,1,1,1,1,1,1,0.39285714285714285,0.39285714285714285,0.39285714285714285,1
six,1,0.56,0.059445178335535004,0.43999999999999995,0.7466666666666666,1,0.56,0.21428571428571427,1,0.21428571428571427,1,0.35294117647058826,0.10714285714285714,0.10714285714285714,0.5,0.78
eight,1,1,0.772027972027972,0,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1
