Var,all,four,six,eight
mpg,0.21275000000000013,0.34386265130007315,-0.0018121878856393627,0.1432922849573413
disp,0.2227999999999998,0.10144133550749429,0.03986813348406592,0.34434805876943686
hp,0.2161499999999996,0.10082354418284455,0.0394150865126561,0.33201870904749736
drat,0.1669,0.3289121012435478,-0.03714985165560692,0.07358777235614133
wt,0.15070000000000008,0.05177091300565188,-0.015856643999344423,0.255324328887403
qsec,0.09359999999999992,0.1588959286999241,0.010873127313836172,0.05455979955692801
vs,0.15315000000000006,0.07166379365937502,0.044851650169574195,0.23144228139451312
am,0.02900000000000003,0.00395386447775861,9.060939428196805e-4,0.053006495654951434
